title,timestamp_first,timestamp_end,def_first,def_end,label,comment
John Chalmers (medical researcher),2021-09-22T04:08:49Z,2021-09-22T20:42:56Z,"John Philip Chalmers AC is an Australian medical researcher, best known for his work in the field of cardiovascular physiology, specifically for his research into hypertension.","John Philip Chalmers AC FAA FAHMS is an Australian medical researcher, best known for his work in the field of cardiovascular physiology, specifically for his research into hypertension.",0,
Pavel Starostin,2021-09-13T11:58:27Z,2021-09-27T08:15:34Z,Pavel Starostin (born 1955) is an Estonian politician.,Pavel Starostin (born 1955) is an Estonian politician.,0,
Kwantlen Polytechnic University,2021-09-05T10:45:50Z,2021-09-14T09:33:55Z,"Kwantlen Polytechnic University is a public degree-granting undergraduate polytechnic university in British Columbia, Canada, with campuses in Surrey, Richmond, Cloverdale, Whalley, and Langley, providing undergraduate and vocational education including bachelor's degrees, associate degrees, diplomas, certificates, apprenticeships, and citations in more than 140 diverse programs.","KPU is a public degree-granting undergraduate polytechnic university in British Columbia, Canada, with campuses in Surrey, Richmond, Cloverdale, Whalley, and Langley.",0,
Alexander Isak,2021-09-02T21:16:13Z,2021-09-23T20:22:24Z,Alexander Isak is a Swedish professional footballer who plays as a forward for La Liga club Real Sociedad and the Sweden national team.,Alexander Isak is a Swedish professional footballer who plays as a forward for La Liga club Real Sociedad and the Sweden national team.,0,
Narendra Modi,2021-09-01T07:50:20Z,2021-10-01T17:53:09Z,Narendra Damodardas Modi is an Indian politician serving as the 14th and current prime minister of India since 2014.,Narendra Damodardas Modi is an Indian politician serving as the 14th and current prime minister of India since 2014.,0,
R. Achmad Rivai,2021-09-04T05:05:56Z,2021-09-24T16:27:52Z,R. Achmad Rivai is an Indonesian admiral.,R. Achmad Rivai is a rear admiral in the Indonesian Navy who served as a senior officer to the chief of staff of Kasal and his last position was TA Pengkaji Bid. National Defense System System.,1,
Kylie Minogue,2021-09-02T07:41:29Z,2021-09-27T19:57:58Z,"Kylie Ann Minogue AO, OBE is an Australian singer and actress who has sold over 70 million records worldwide and has been recognised for reinventing herself in music and fashion.","Kylie Minogue is an Australian singer and actress who has sold over 70 million records worldwide and is referred to by the European press as the ""Princess of Pop"" and a style icon.",0,
Doğan Kuban,2021-09-10T21:35:01Z,2021-09-27T22:20:01Z,Doğan Kuban (born 1926) is a Turkish architectural historian.,Doğan Kuban (10 April 1926 – 22 September 2021) was a Turkish architectural historian.,1,
Wyoming Highway 24,2021-09-18T02:43:02Z,2021-09-18T02:59:31Z,"Wyoming Highway 24 (WYO 24) is a 46.72-mile (75.19 km) state highway in Crook County, Wyoming, United States.","Wyoming Highway 24 (WYO 24) is a 46.72-mile (75.19 km) state highway in Crook County, Wyoming, United States.",0,
Rogue wave,2021-09-07T05:42:03Z,2021-09-17T17:57:21Z,"Rogue waves are unusually large, unpredictable and suddenly appearing surface waves that can be extremely dangerous to ships, even to large ones.","Rogue waves (also known as freak waves, monster waves, episodic waves, killer waves, extreme waves, and abnormal waves) are unusually large, unpredictable and suddenly appearing surface waves that can be extremely dangerous to ships, even to large ones.",0,
Marek Wietecki,2021-09-29T15:48:37Z,2021-10-01T16:48:07Z,Marek Wietecki is a Polish Paralympic athlete who competes at international elite competitions.,"Marek Wietecki is a Polish Paralympic athlete who competes at international elite competitions and is a World bronze medalist and a European champion in discus throw, with two medals in javelin throw.",1,
Louis IX of France,2021-09-04T06:45:41Z,2021-09-30T13:01:29Z,Louis IX was king of France from 1226 to 1270.,Louis IX (25 April 1214 – 25 August 1270) was King of France from 1226 to 1270 and the most illustrious of the Direct Capetians.,0,
Gwen John,2021-09-05T15:43:47Z,2021-09-05T23:41:36Z,Gwendolen Mary John was a Welsh artist who worked in France for most of her career and is known for her paintings of anonymous female sitters rendered in a range of closely related tones.,Gwendolen Mary John was a Welsh artist who worked in France for most of her career and painted mainly portraits of anonymous female sitters rendered in a range of closely related tones.,0,
Home on the Range (2004 film),2021-09-05T05:24:27Z,2021-09-26T23:02:48Z,Home on the Range is a 2004 American animated Western musical comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.,Home on the Range is a 2004 American animated Western musical comedy film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.,0,
Andréa Tommasi,2021-09-16T11:43:47Z,2021-09-20T03:27:00Z,"Andréa Tommasi is an geoscientist from Brazil known for her research on geodynamics and terrestrial deformation, and is a recipient of the CNRS silver medal and an elected fellow of the American Geophysical Union.","Andréa Tommasi is a geoscientist from Brazil known for her research on geodynamics and terrestrial deformation, recipient of the CNRS silver medal and an elected fellow of the American Geophysical Union.",0,
Mount Rushmore,2021-09-01T20:06:16Z,2021-10-01T14:39:53Z,"Mount Rushmore National Memorial is centered on a colossal sculpture carved into the granite face of Mount Rushmore (Lakota: Tȟuŋkášila Šákpe, or Six Grandfathers) in the Black Hills near Keystone, South Dakota.","Mount Rushmore National Memorial is centered on a colossal sculpture carved into the granite face of Mount Rushmore (Lakota: Tȟuŋkášila Šákpe, or Six Grandfathers) in the Black Hills near Keystone, South Dakota.",0,
My Tears Ricochet,2021-09-24T05:39:12Z,2021-09-30T15:58:53Z,"""My Tears Ricochet"" is a song written and recorded by American singer-songwriter Taylor Swift.","""My Tears Ricochet"" is a song written and recorded by American singer-songwriter Taylor Swift.",0,
Brenntag,2021-09-21T15:00:37Z,2021-10-01T15:03:30Z,Brenntag SE is a German chemical distribution company founded in 1874 in Berlin.,Brenntag SE is a German chemical distribution company founded in 1874 in Berlin.,0,
Henry Barkly,2021-09-29T19:39:25Z,2021-09-29T19:59:27Z,"Sir Henry Barkly was a British politician, colonial governor and patron of the sciences.","Sir Henry Barkly was a British politician, colonial governor and patron of the sciences.",0,
The Little Mermaid (1989 film),2021-09-03T02:22:17Z,2021-09-30T20:51:16Z,"The Little Mermaid is a 1989 American animated musical fantasy film based on the 1837 Danish fairy tale of the same name by Hans Christian Andersen, telling the story of a mermaid princess who dreams of becoming human and falls in love with a human prince.",The Little Mermaid is a 1989 American animated musical fantasy film produced by Walt Disney Feature Animation and Walt Disney Pictures.,0,
Gong Yuzhi,2021-09-12T06:52:06Z,2021-09-12T07:06:01Z,Gong Yuzhi was a Chinese Communist Party theorist and politician and a representative of the 15th National Congress of the Communist Party of China.,"Gong Yuzhi was a Chinese Communist Party theorist and politician who was a representative of the 15th National Congress of the Communist Party of China and a member of the 5th, 6th, 7th, and 8th National Committee of the Chinese People's Political Consultative Conference and a member of the 9th Standing Committee of the Chinese People's Political Consultative Conference.",1,
Colombia national football team,2021-09-01T14:32:55Z,2021-09-30T04:30:11Z,"The Colombia national football team (Spanish: Selección de fútbol de Colombia) represents Colombia in men's international football and is managed by the Colombian Football Federation, the governing body for football in Colombia.",The Colombia national football team represents Colombia in men's international football and is managed by the Colombian Football Federation.,0,
Lee Geum-min,2021-09-09T12:40:37Z,2021-09-25T13:03:59Z,Lee Geum-min is a South Korean footballer who plays as a forward for the South Korea national team and currently plays in the FA WSL for Brighton & Hove Albion.,"Lee Geum-min (Korean: 이금민, Korean pronunciation: or ; born 7 April 1994) is a South Korean footballer who plays as a forward for the South Korea national team.",0,
Romy Schneider,2021-09-03T08:23:53Z,2021-09-08T02:50:33Z,Romy Schneider was a German-French actress who began her career in the German Heimatfilm genre in the early 1950s when she was 15.,Romy Schneider was a German-French actress who began her career in the German Heimatfilm genre in the early 1950s when she was 15.,0,
Yves Perron,2021-09-13T03:40:40Z,2021-09-22T20:49:41Z,Yves Perron MP is a Canadian politician who was elected to the House of Commons of Canada in the 2019 election and represents the electoral district of Berthier—Maskinongé as a member of the Bloc Québécois.,"Yves Perron MP is a Canadian politician, who was elected to the House of Commons of Canada in the 2019 election and serves as President of the Bloc Québécois.",0,
Wadi Rum,2021-09-19T16:08:03Z,2021-09-30T04:45:36Z,"Wadi Rum (Arabic: وادي رم Wādī Ramm), known also as the Valley of the Moon (Arabic: وادي القمر Wādī al-Qamar), is a valley cut into the sandstone and granite rock in southern Jordan 60 km (37 mi) to the east of Aqaba; it is the largest wadi in Jordan.","Wadi Rum (Arabic: وادي رم Wādī Ramm), known also as the Valley of the Moon (Arabic: وادي القمر Wādī al-Qamar), is a valley cut into the sandstone and granite rock in southern Jordan 60 km (37 mi) to the east of Aqaba; it is the largest wadi in Jordan.",0,
Imre Aranyos,2021-09-04T15:47:47Z,2021-09-24T16:34:27Z,Imre Aranyos (born 13 June 1966) is a Hungarian former professional footballer who played as a midfielder.,Imre Aranyos is a Hungarian former professional footballer who gained 3 caps for Hungary and was a member of the 1993–94 Vác FC-Samsung squad that won Nemzeti Bajnokság I and became Hungarian champion.,1,
Fanny Suenssen,2021-09-11T14:20:57Z,2021-09-12T10:27:24Z,"Fanny Margrethe Kirstine Suenssen (1832–1918) was a Danish writer who contributed articles to women's magazines and published novels and short stories, despite suffering from poor health throughout her life.","Fanny Margrethe Kirstine Suenssen (1832–1918) was a Danish writer who contributed articles to women's magazines and published novels and short stories, despite suffering from poor health and often being bed-ridden.",0,
Julia R. Anagnos,2021-09-08T23:38:18Z,2021-09-13T13:49:35Z,"Julia Romana Howe Anagnos was an American poet born in Rome, Italy to American parents Samuel Gridley Howe and Julia Ward Howe.","Julia Romana Howe Anagnos was an American poet born in Rome, Italy to American parents Samuel Gridley Howe and Julia Ward Howe.",0,
Syldavia,2021-09-20T00:06:39Z,2021-09-25T06:33:24Z,"Syldavian/Cyrillic: Ейщ беннек, ейщ блавек. Syldavia is a fictional country in The Adventures of Tintin, the comics series by Belgian cartoonist Hergé.","Syldavia is a fictional country in The Adventures of Tintin, the comics series by Belgian cartoonist Hergé.",0,
Mayuli Martínez Simón,2021-09-16T21:50:03Z,2021-09-16T21:55:46Z,Mayuli Latifa Martínez Simón is a Mexican politician from the National Action Party.,Mayuli Latifa Martínez Simón is a Mexican politician from the National Action Party.,0,
Mariinsky Ballet,2021-09-13T16:54:46Z,2021-09-20T10:36:26Z,"The Mariinsky Ballet is the resident classical ballet company of the Mariinsky Theatre in Saint Petersburg, Russia and is one of the world's leading ballet companies.","The Mariinsky Ballet (Russian: Балет Мариинского театра) is the resident classical ballet company of the Mariinsky Theatre in Saint Petersburg, Russia.",0,
The Mickey Mouse Club,2021-09-09T07:41:36Z,2021-09-24T10:28:54Z,The Mickey Mouse Club is an American variety television show that aired intermittently from 1955 to 1996 and returned to social media in 2017.,The Mickey Mouse Club is an American variety television show that aired intermittently from 1955 to 1996 and returned to social media in 2017.,0,
Eden Kartsev,2021-09-03T08:21:10Z,2021-09-05T11:19:23Z,Eden Karzev is an Israeli footballer who plays as a midfielder for Maccabi Netanya.,Eden Karzev is an Israeli footballer who plays as a midfielder for Maccabi Netanya.,0,
David Najem,2021-09-10T03:57:44Z,2021-09-11T06:02:22Z,"David Najem (Dari: داوید نجم; born May 26, 1992) is a professional footballer who plays as a defender for USL Championship club New Mexico United and the Afghanistan national team.","David Najem (Dari: داوید نجم; born May 26, 1992) is a professional footballer who plays as a defender for USL Championship club New Mexico United and the Afghanistan national team.",0,
A. K. Bell Library,2021-09-29T23:40:07Z,2021-10-01T23:14:08Z,"A. K. Bell Library is an historic building on York Place in Perth, Perth and Kinross, Scotland.","The A. K. Bell Library is an historic building on York Place in Perth, Perth and Kinross, Scotland, with the central section of the building being a Category A listed.",0,
Dwika Tjahja Setiawan,2021-09-03T09:04:48Z,2021-09-04T03:19:23Z,Dwika Tjahja Setiawan is a first admiral in the Indonesian Navy who served as its chief of staff.,Dwika Tjahja Setiawan is a first admiral in the Indonesian Navy who served as its chief of staff in the navy's Military Sealift Command.,0,
Drew Fortier,2021-09-16T17:32:41Z,2021-09-20T22:42:29Z,"Andrew Lawrence Fortier is an American musician, guitarist, filmmaker, actor, and author.","Andrew Lawrence Fortier is an American musician, guitarist, filmmaker, actor, and author.",0,
Frederikke Charlotte Reventlow,2021-09-15T14:00:52Z,2021-09-17T13:57:50Z,"Sophie Frederikke Louise Charlotte Reventlow née von Beulwitz (1747–1822) was a Danish countess, author and letter writer.","Sophie Frederikke Louise Charlotte Reventlow née von Beulwitz or von Beulwiz (1747–1822) was a Danish countess, author and letter writer who contributed to improvements in children's education and upbringing.",0,
Marthe Mercadier,2021-09-15T13:30:38Z,2021-09-17T23:06:43Z,Marthe Mercadier was a French actress.,Marthe Mercadier (23 October 1928 – 15 September 2021) was a French actress.,0,
The H-Man,2021-09-17T19:07:55Z,2021-09-17T19:08:52Z,"The H-Man is a Japanese science fiction thriller film directed by Ishirō Honda, with special effects by Eiji Tsuburaya.","The H-Man is a Japanese science fiction thriller film directed by Ishirō Honda, with special effects by Eiji Tsuburaya.",0,
Miley Cyrus,2021-09-02T20:02:21Z,2021-10-01T13:35:32Z,"Miley Ray Cyrus is an American singer, songwriter, and actress noted for her distinctive raspy voice.","Miley Ray Cyrus is an American singer, songwriter, and actress noted for their distinctive raspy voice, whose music incorporates elements of varied styles and genres.",0,
Dieter Oesterhelt,2021-09-19T11:53:06Z,2021-09-29T15:42:05Z,Dieter Oesterhelt is a German biochemist.,Dieter Oesterhelt is a German biochemist.,0,
Broken Circle/Spiral Hill,2021-09-06T18:48:21Z,2021-09-29T21:46:39Z,"Broken Circle/Spiral Hill is a 1971 earthwork sculpture by the American artist, Robert Smithson.",Broken Circle/Spiral Hill is an earthwork sculpture by the American artist Robert Smithson.,0,
Gary Holton,2021-09-10T15:40:17Z,2021-09-22T14:42:01Z,"Gary Frederick Holton was an English singer-songwriter, musician and actor from London.","Gary Frederick Holton was an English singer-songwriter, musician and actor from London.",0,
Eternals (film),2021-09-01T08:45:00Z,2021-10-01T11:27:46Z,Eternals is an upcoming American superhero film based on the Marvel Comics race of the same name.,Eternals is an upcoming American superhero film based on the Marvel Comics race of the same name.,0,
Lando Norris,2021-09-02T09:30:57Z,2021-10-01T20:42:46Z,"Lando Norris is a British-Belgian racing driver currently competing in Formula One with McLaren, racing under the British flag.","Lando Norris is a British-Belgian racing driver currently competing in Formula One with McLaren, racing under the British flag.",0,
Ianis Hagi,2021-09-01T00:13:35Z,2021-09-25T14:26:09Z,Ianis Hagi (Romanian pronunciation: ; born 22 October 1998) is a Romanian professional footballer who plays mainly as an attacking midfielder for Scottish club Rangers and the Romania national team.,Ianis Hagi is a Romanian professional footballer who plays mainly as an attacking midfielder for Scottish club Rangers and the Romania national team.,0,
Esther Manheimer,2021-09-05T13:05:38Z,2021-09-11T14:10:43Z,"Esther E. Manheimer is an American politician and attorney serving as the mayor of Asheville, North Carolina.","Esther E. Manheimer is an American politician and attorney serving as the mayor of Asheville, North Carolina.",0,
Unstoppable (2010 film),2021-09-14T02:39:04Z,2021-09-28T23:23:51Z,Unstoppable is a 2010 American action thriller film directed and produced by Tony Scott and starring Denzel Washington and Chris Pine. I,"Unstoppable is a 2010 American action thriller film directed and produced by Tony Scott and starring Denzel Washington and Chris Pine, based on the real-life CSX 8888 incident, telling the story of a runaway freight train and the two men who attempt to stop it.",1,
Michael K. Williams,2021-09-06T20:07:54Z,2021-10-01T04:48:40Z,"Michael Kenneth Williams (born November 22, 1966 - September 6, 2021) is an American actor.","Michael Kenneth Williams (November 22, 1966 – September 6, 2021) was an American actor.",0,
European Robotic Arm,2021-09-05T11:55:44Z,2021-09-19T22:55:33Z,The European Robotic Arm (ERA) is a robotic arm that is attached to the Russian Orbital Segment (ROS) of the International Space Station.,The European Robotic Arm (ERA) is a robotic arm that is attached to the Russian Orbital Segment (ROS) of the International Space Station.,0,
Fred Rose (songwriter),2021-09-09T14:21:46Z,2021-09-10T05:00:09Z,"Knowles Fred Rose was an American musician, Hall of Fame songwriter, and music publishing executive.","Knowles Fred Rose was an American musician, Hall of Fame songwriter, and music publishing executive.",0,
Kassia,2021-09-04T22:16:15Z,2021-09-27T01:03:01Z,"Kassia, Cassia or Kassiani was a Byzantine abbess, poet, composer, and hymnographer.","Kassia, Cassia or Kassiani was a Byzantine-Greek composer, hymnographer and poet who holds a unique place in Byzantine music as the only known woman whose music appears in the Byzantine liturgy.",1,
Ali Kalora,2021-09-19T04:55:00Z,2021-09-30T02:55:10Z,"Ali Ahmad, popularly known as Ali Kalora, was an Islamic militant leader and leader of East Indonesia Mujahideen.","Ali Ahmad, known popularly as Ali Kalora (30 May 1981 – 18 September 2021), was an Indonesian Islamic militant and leader of East Indonesia Mujahideen.",0,
Silas Molema,2021-09-29T19:55:57Z,2021-09-29T19:57:55Z,"Silas Molema (c. 1891 – 13 August 1965) was a South African doctor, politician, activist, and historian.","Silas Molema (c. 1891 – 13 August 1965) was a South African doctor, politician, activist, and historian.",0,
Cambodian rock (1960s–1970s),2021-09-27T16:31:11Z,2021-09-27T16:38:28Z,"Cambodian rock of the 1960s and 1970s was a thriving and prolific music scene based in Phnom Penh, Cambodia, in which musicians created a unique sound by combining traditional Cambodian music forms with rock and pop influences from records imported into the country from Latin America, Europe, and the United States.","Cambodian rock of the 1960s and 1970s was a thriving and prolific music scene based in Phnom Penh, Cambodia, in which musicians created a unique sound by combining traditional Cambodian music forms with rock and pop influences from records imported into the country from Latin America, Europe, and the United States.",0,
Jordi López (footballer),2021-09-05T05:21:22Z,2021-09-17T19:02:28Z,Jordi López Felpeto is a Spanish former footballer who played mainly as a defensive midfielder.,Jordi López Felpeto is a Spanish former footballer who played mainly as a defensive midfielder.,0,
Halakha,2021-09-04T13:16:26Z,2021-09-25T00:23:10Z,Halakha is the collective body of Jewish religious laws derived from the written and Oral Torah.,Halakha is the collective body of Jewish religious laws which is derived from the written and Oral Torah.,0,
House of Ham,2021-09-26T21:23:19Z,2021-09-27T22:05:47Z,The House of Ham is an ancient noble family from Picardy whose power was reinforced by a castle whose existence is attested in the 10th century.,The House of Ham was an ancient noble family from Picardy whose power was reinforced by a castle.,1,
Eastern Orthodox Church,2021-09-02T13:13:58Z,2021-09-30T17:51:33Z,"The Eastern Orthodox Church is the second-largest Christian church and operates as a communion of autocephalous churches, each governed by its bishops in local synods.","The Eastern Orthodox Church is a communion of autocephalous churches, each governed by its bishops in local synods.",0,
What's My Line?,2021-09-18T06:01:28Z,2021-09-28T07:32:03Z,"What's My Line? was a panel game show that originally ran in the United States on the CBS Television Network from 1950 to 1967, originally in black and white and later in color, with subsequent U. S. revivals.","What's My Line? was a panel game show that originally ran in the United States on the CBS Television Network from 1950 to 1967, originally in black and white and later in color, with subsequent U. S. revivals.",0,
Stefan Dušan,2021-09-09T13:37:14Z,2021-09-12T17:39:40Z,Dušan the Mighty was the King of Serbia from 8 September 1331 and Tsar (or Emperor) and autocrat of the Serbs and Greeks (or Romans) from 16 April 1346 until his death in 1355.,"Stefan Uroš IV Dušan (Serbian Cyrillic: Стефан Урош IV Душан), known as Dušan the Mighty, was the King of Serbia from 8 September 1331 and Tsar (or Emperor) and autocrat of the Serbs and Greeks (or Romans) from 16 April 1346 until his death in 1355.",0,
Gina Pacheco,2021-09-01T00:14:09Z,2021-09-03T02:16:54Z,Gina Marie Pacheco is a former Canadian soccer player who played as a midfielder.,Gina Marie Pacheco is a former Canadian soccer player who played as a midfielder.,0,
The Noises,2021-09-01T01:40:20Z,2021-09-27T00:26:02Z,The Noises are a collection of uninhabited islands lying northeast of Rakino Island in Auckland's Hauraki Gulf.,"The Noises are a collection of islands lying northeast of Rakino Island in Auckland's Hauraki Gulf, off the coast of the North Island of New Zealand.",0,
Alexander Carlton Hodson,2021-09-10T05:29:14Z,2021-09-10T05:39:21Z,Alexander Carlton Hodson was an American entomologist and a professor at the University of Minnesota who is known for his work on ecological approaches to applied entomology.,"Alexander Carlton Hodson was an American entomologist and a professor at the University of Minnesota, known for his work on ecological approaches to applied entomology.",0,
Codex Boreelianus,2021-09-26T15:38:50Z,2021-09-26T18:55:35Z,The Codex Boreelianus is a Church Slavonic alphabet written on f. 356r of UBU Hs. 1.,"Codex Boreelianus, designated by Fe or 09 in the Gregory-Aland numbering and ε 86 in von Soden numbering, is a 9th (or 10th) century uncial manuscript of the four Gospels in Greek.",1,
Durga Puja,2021-09-04T08:25:46Z,2021-10-01T05:16:06Z,"Durga Puja (pronounced ), also known as Durgotsava, or Sharodotsava (pronounced ), is an annual Hindu festival originating in the Indian subcontinent which reveres and pays homage to the Hindu goddess, Durga.","Durga Puja (Hindi: ), also known as Durgotsava, or Sharodotsava (Hindi: ), is an annual Hindu festival originating in the Indian subcontinent which reveres and pays homage to the Hindu goddess, Durga.",0,
Mexico,2021-09-02T15:50:42Z,2021-10-01T20:06:44Z,"Mexico is a country in the southern portion of North America bordered to the north by the United States, to the south and west by the Pacific Ocean, to the southeast by Guatemala, Belize, and the Caribbean Sea, and to the east by the Gulf of Mexico.","Mexico, officially the United Mexican States, is a country in the southern portion of North America.",0,
Empress Myeongseong,2021-09-01T00:55:22Z,2021-09-21T16:30:38Z,"Empress Myeongseong (17 November 1851 – 8 October 1895), known informally as Queen Min, was the first official wife of Gojong, the twenty-sixth king of Joseon and the first emperor of the Korean Empire.","Empress Myeongseong or Empress Myung-Sung (17 November 1851 – 8 October 1895), known informally as Queen Min, was the first official wife of Gojong, the twenty-sixth king of Joseon and the first emperor of the Korean Empire.",0,
Oleg Khlestov,2021-09-03T03:33:31Z,2021-09-03T08:56:20Z,Oleg Nikolayevich Khlestov was a Soviet diplomat and academic who entered the diplomatic service after 1945 and served in various diplomatic roles from 1945 onwards.,Oleg Nikolayevich Khlestov (Russian: Олег Николаевич Хлестов; 6 June 1923 – 31 August 2021) was a Soviet diplomat and academic.,1,
He-Halutz (magazine),2021-09-10T02:39:07Z,2021-09-10T17:39:13Z,"He-Ḥalutz (Hebrew: הֶחָלוּץ, lit. ""The Pioneer"") is an newspaper.","He-Ḥalutz (Hebrew: הֶחָלוּץ, lit. 'The Pioneer'; German: Wissenschaftliche Abhandlungen über Jüdische Geschichte, Literatur, und Alterthumskunde, lit. 'Scientific Treatises on Jewish History, Literature, and Antiquities') was a Hebrew magazine which appeared irregularly between 1852 and 1889.",1,
Cédric Bah,2021-09-19T11:08:03Z,2021-09-23T14:40:17Z,Cédric Bah is an Ivorian professional basketball player for ADA Blois Basket 41 and the Ivorian national team.,Cédric Bah is an Ivorian professional basketball player for JA Vichy-Clermont Métropole Basket and the Ivorian national team.,1,
Jim Lovell,2021-09-01T01:46:35Z,2021-09-30T02:53:28Z,"James Arthur Lovell Jr. is a retired American astronaut, naval aviator, and mechanical engineer who, in 1968, became one of the first three astronauts to fly to and orbit the Moon, and in 1970 commanded the Apollo 13 lunar mission which circled around the Moon and returned safely to Earth.","James Arthur Lovell Jr. is a retired American astronaut, naval aviator, and mechanical engineer who, in 1968, became one of the first three astronauts to fly to and orbit the Moon and commanded the 1970 Apollo 13 lunar mission which returned safely to Earth.",0,
Franziska Carlsen,2021-09-02T12:08:55Z,2021-09-15T18:09:28Z,Franziska Antoinette Hilleborg Carlsen (1817–1876) was a Danish writer who was particularly interested in local history and folklore.,Franziska Antoinette Hilleborg Carlsen (1817–1876) was a Danish writer who was particularly interested in local history and folklore.,0,
Dune,2021-09-12T00:32:17Z,2021-09-30T08:02:10Z,A dune is a landform composed of wind- or water-driven sand.,A dune is a landform composed of wind- or water-driven sand.,0,
Maggie Hassan,2021-09-01T14:58:54Z,2021-09-27T14:53:59Z,Margaret Coldwell Hassan is an American politician and attorney serving as the junior United States Senator from New Hampshire.,"Margaret Coldwell Hassan (/ˈhæsən/; née Wood; born February 27, 1958) is an American politician and attorney serving as the junior United States senator from New Hampshire.",0,
Joe Rogan,2021-09-01T22:39:00Z,2021-10-01T18:39:43Z,"Joseph James Rogan is an American comedian, podcaster, and UFC color commentator.","Joseph James Rogan is an American podcast host, UFC color commentator, comedian, and former television presenter.",0,
Dracophyllum kirkii,2021-09-09T09:55:01Z,2021-09-10T16:33:09Z,Dracophyllum kirkii is a species of shrub endemic to the South Island of New Zealand.,Dracophyllum kirkii is a species of shrub endemic to the South Island of New Zealand. I,0,
Fanendo Adi,2021-09-10T13:57:45Z,2021-09-13T07:51:18Z,Fanendo Adi is a Nigerian footballer who plays as a striker for Minnesota United in MLS.,Fanendo Adi is a Nigerian footballer who plays as a striker for Minnesota United in MLS.,0,
Trance music,2021-09-07T17:06:23Z,2021-09-30T22:55:54Z,Trance is a genre of electronic dance music that emerged from the British new-age music scene and the early 1990s German techno and hardcore scenes.,"Trance is a genre of electronic dance music that is characterized by a tempo lying between 125–150 bPM, repeating melodic phrases and a musical form that distinctly builds tension and elements throughout a track often culminating in 1 to 2 ""peaks"" or ""drops"".",1,
Doja Cat,2021-09-02T08:57:15Z,2021-10-01T06:21:19Z,"Doja Cat is an American rapper, singer and songwriter.","Amala Ratna Zandile Dlamini, known professionally as Doja Cat, is an American rapper, singer and songwriter.",1,
Sonic the Hedgehog,2021-09-06T10:51:44Z,2021-09-29T12:40:19Z,"Sonic the Hedgehog is a Japanese video game series and media franchise created and owned by Sega which follows Sonic, an anthropomorphic blue hedgehog who battles the evil Doctor Eggman, a mad scientist.","Sonic the Hedgehog is a Japanese video game series and media franchise created and owned by Sega, following Sonic, an anthropomorphic blue hedgehog who battles the evil Doctor Eggman, a mad scientist.",0,
Jorge Osinde,2021-09-28T23:46:10Z,2021-09-28T23:49:32Z,Jorge Manuel Osinde was an Argentine military officer and Peronist politician.,Jorge Manuel Osinde was an Argentine military officer and Peronist politician.,0,
Firefly Alpha,2021-09-01T22:30:52Z,2021-09-22T21:37:26Z,Firefly Alpha (Firefly α) is a two-stage orbital expendable launch vehicle developed by the American aerospace company Firefly Aerospace to cover the commercial small satellite launch market.,Firefly Alpha (Firefly α) is a two-stage orbital expendable launch vehicle developed by the American aerospace company Firefly Aerospace to cover the commercial small satellite launch market.,0,
Harun al-Rashid,2021-09-08T17:31:15Z,2021-10-01T16:44:22Z,"Harun al-Rashid was the fifth Abbasid Caliph, with his epithet ""al-Rashid"" translating to ""the Orthodox"", ""the Just"", ""the Upright"", or ""the Rightly-Guided"".","Harun al-Rashid was the fifth Abbasid Caliph whose epithet ""al-Rashid"" translates to ""the Orthodox"", ""the Just"", ""the Upright"", or ""the Rightly-Guided"".",0,
Anna Chromý,2021-09-19T15:54:10Z,2021-09-21T06:19:21Z,Anna Chromy is a Czech painter and sculptor.,Anna Chromy (18 July 1940 – 18 September 2021) was a Czech painter and sculptor. ,0,
Jirisan,2021-09-14T12:16:45Z,2021-09-14T12:18:38Z,"Jirisan is a mountain located in the southern region of South Korea which is the second-tallest mountain in South Korea after Jeju Island's Hallasan and the tallest mountain in mainland South Korea, with a height of 1915m.","Jirisan is a mountain located in the southern region of South Korea, which is the second-tallest mountain in South Korea after Jeju Island's Hallasan, and the tallest mountain in mainland South Korea with a height of 1915m.",0,
Ilah Marian Kibbey,2021-09-20T14:17:04Z,2021-09-23T19:52:18Z,Ilah Marian Kibbey (1883-1957) was an American genre and landscape painter.,Ilah Marian Kibbey (1883-1957) was an American genre and landscape painter.,0,
ITunes Store,2021-09-18T19:13:44Z,2021-09-27T22:04:49Z,"The iTunes Store is a software-based online digital media store operated by Apple Inc. that opened on April 28, 2003, as a result of Steve Jobs' push to open a digital marketplace for music.","The iTunes Store is a software-based online digital media store operated by Apple Inc. that opened on April 28, 2003, as a result of Steve Jobs' push to open a digital marketplace for music.",0,
